timestamp,published_date,source,title,url,final_risk_score,incident_type,granular_incident_type,Render_Perp,Render_Target,Render_Casualties,region,source_type
2026-06-10T17:45:36.277441,2026-06-10,Kashmir Observer,Rusted Mortar Shell Found in Jammu; Neutralised,https://kashmirobserver.net/2026/06/10/rusted-mortar-shell-found-in-jammu-neutralised/,8.0,Kinetic,IED/Explosion,,Jammu,,jk,playwright
2026-06-10T17:46:05.991625,,Greater Kashmir,"Heavy gunfire, explosions heard from Dori Maal forest as Rajouri operation enters 17th day",https://www.greaterkashmir.com/pir-panjal/heavy-gunfire-explosions-heard-from-dori-maal-forest-as-rajouri-operation-enters-17th-day-12016292,8.0,Kinetic,Search Operation,,Rajouri,,jk,playwright
2026-06-10T17:47:38.034753,2026-06-10,Top News J&K,Govt’s Statehood protest at Jantar Mantar open to All Parties: Dy CM,https://topnewsjk.in/kashmir/govts-statehood-protest-at-jantar-mantar-open-to-all-parties-dy-cm/,9.5,Unrest,Civil Unrest,Let,"Jammu, Srinagar, Bandipora",,jk,playwright
2026-06-10T17:47:56.371979,,Kashmir Media Watch,"Drug-Free J&K Campaign Reaches 19th District, Lieutenant Governor Leads Padyatra in Kishtwar",https://www.kashmirmediawatch.com/drug-free-jk-campaign-reaches-19th-district-lieutenant-governor-leads-padyatra-in-kishtwar/,8.0,Kinetic,Border Infiltration,,"Kulgam, Ramban, Kishtwar, Jammu, Pulwama",,jk,playwright
2026-06-10T18:09:19.370949,2026-06-10,The Assam Tribune,Six bodies found in Manipur's Kangpokpi; feared to be missing Naga hostages,https://assamtribune.com/north-east/six-bodies-found-in-manipurs-kangpokpi-feared-to-be-missing-naga-hostages-1612582,8.0,Kinetic,Search Operation,"CRPF, MANIPUR POLICE, ASSAM RIFLES","Senapati, Imphal, Kangpokpi",,ne,rss
2026-06-10T18:31:55.371697,,Daily Excelsior,"J&K | Kathua Fire Guts Two Dozen Hutments, Forest Blaze Sparks Mine Blasts In Rajouri",https://www.dailyexcelsior.com/jk-kathua-fire-guts-two-dozen-hutments-forest-blaze-sparks-mine-blasts-in-rajouri/,8.0,Kinetic,IED/Explosion,,"Udhampur, Reasi, Rajouri, Jammu, Kathua",,jk,playwright
2026-06-10T18:36:37.832806,2026-06-10,The Shillong Times,"A rescue worker puts out a fire of damaged cars after a Russian strike in Kharkiv, at Ukraine, on Tuesday. (PTI)",https://theshillongtimes.com/2026/06/10/a-rescue-worker-puts-out-a-fire-of-damaged-cars-after-a-russian-strike-in-kharkiv-at-ukraine-on-tuesday-pti/,10.0,Kinetic,Search Operation,,Aizawl,Killed: 4,ne,playwright
2026-06-10T18:58:39.541783,,India Today NE,"Three sentenced to 20 years RI in 9,500 yaba tablet seizure case in Tripura",https://www.indiatodayne.in/tripura/story/three-sentenced-to-20-years-ri-in-9500-yaba-tablet-seizure-case-in-tripura-1405972-2026-06-10,8.0,Kinetic,Search Operation,,"South Tripura, Sepahijala",,ne,playwright
2026-06-10T19:39:20.084977,2026-06-10,Kashmir Observer,Rusted Mortar Shell Found in Jammu; Neutralised,https://kashmirobserver.net/2026/06/10/rusted-mortar-shell-found-in-jammu-neutralised/,8.0,Kinetic,IED/Explosion,,Jammu,,jk,playwright
2026-06-10T19:39:25.720003,,Greater Kashmir,"Heavy gunfire, explosions heard from Dori Maal forest as Rajouri operation enters 17th day",https://www.greaterkashmir.com/pir-panjal/heavy-gunfire-explosions-heard-from-dori-maal-forest-as-rajouri-operation-enters-17th-day-12016292,8.0,Kinetic,Search Operation,,Rajouri,,jk,playwright
2026-06-10T19:40:16.777538,2026-06-10,Kashmir Life,Govt’s Statehood Protest at Jantar Mantar Open to All Parties: Dy CM,https://kashmirlife.net/govts-statehood-protest-at-jantar-mantar-open-to-all-parties-dy-cm-439583/,9.5,Unrest,Civil Unrest,Let,"Srinagar, Jammu, Bandipora",,jk,playwright
2026-06-10T19:41:53.987494,,Kashmir Media Watch,"Drug-Free J&K Campaign Reaches 19th District, Lieutenant Governor Leads Padyatra in Kishtwar",https://www.kashmirmediawatch.com/drug-free-jk-campaign-reaches-19th-district-lieutenant-governor-leads-padyatra-in-kishtwar/,8.0,Kinetic,Border Infiltration,,"Kulgam, Ramban, Kishtwar, Jammu, Pulwama",,jk,playwright
2026-06-10T19:43:28.521519,2026-06-10,NorthEast Now,Manipur: Bodies believed to be of six Naga hostages recovered in Kangpokpi,https://nenow.in/north-east-news/manipur/manipur-bodies-believed-to-be-of-six-naga-hostages-recovered-in-kangpokpi.html,8.0,Kinetic,Search Operation,CRPF,"Senapati, Kangpokpi",,ne,playwright
2026-06-10T20:01:56.437874,,Daily Excelsior,Delhi HC Grants Bail To Kashmiri Human-Rights Activist Khuram Parvez In UAPA Case,https://www.dailyexcelsior.com/delhi-hc-grants-bail-to-kashmiri-human-rights-activist-khuram-parvez-in-uapa-case/,0.5,Other,Other,"Lashkar-E-Taiba, Let, NIA, NATIONAL INVESTIGATION AGENCY",Jammu,,jk,playwright
2026-06-10T20:02:36.543358,2026-06-10,Kashmir Observer,Delhi HC Grants Bail to Khuram Parvez in UAPA Case,https://kashmirobserver.net/2026/06/10/delhi-hc-grants-bail-to-khuram-parvez-in-uapa-case/,10.0,Kinetic,IED/Explosion,"Let, NIA",Jammu,,jk,playwright
2026-06-10T21:38:02.111911,2026-06-10,Kashmir Observer,Delhi HC Grants Bail to Khuram Parvez in UAPA Case,https://kashmirobserver.net/2026/06/10/delhi-hc-grants-bail-to-khuram-parvez-in-uapa-case/,10.0,Kinetic,IED/Explosion,"Let, NIA",Jammu,,jk,playwright
2026-06-10T23:39:58.652493,,Greater Kashmir,"Heavy gunfire, explosions heard from Dori Maal forest as Rajouri operation enters 17th day",https://www.greaterkashmir.com/pir-panjal/heavy-gunfire-explosions-heard-from-dori-maal-forest-as-rajouri-operation-enters-17th-day-12016292,8.0,Kinetic,Search Operation,,Rajouri,,jk,playwright
2026-06-12T21:04:16.788917,2026-06-12,Greater Kashmir,Two soldiers injured in accidental grenade blast in Poonch,https://www.greaterkashmir.com/security/two-soldiers-injured-in-accidental-grenade-blast-in-poonch-12031180,8.0,Kinetic,IED/Explosion,,"Poonch, Udhampur","Injured: two injured, one injured",jk,rss
2026-06-12T21:04:24.079619,2026-06-12,Greater Kashmir,"Burglars strike in Sopore; three houses targeted, cash and valuables stolen",https://www.greaterkashmir.com/kashmir/burglars-strike-in-sopore-three-houses-targeted-cash-and-valuables-stolen-12029397,10.0,Kinetic,Search Operation,,Sopore,,jk,rss
2026-06-12T21:04:31.440742,2026-06-12,Greater Kashmir,Residents protest discontinuation of smart bus service in Pulwama villages,https://www.greaterkashmir.com/kashmir/residents-protest-discontinuation-of-smart-bus-service-in-pulwama-villages-12029067,7.5,Unrest,Civil Unrest,,Pulwama,,jk,rss
2026-06-12T21:05:05.875114,2026-06-09,Rising Kashmir,"Ruhullah Backs NC's Statehood Protest, Seeks Art 370 Restoration",https://risingkashmir.com/ruhullah-backs-nc-protest-seeks-restoration-of-special-status/,7.5,Unrest,Civil Unrest,,"Jammu, Srinagar",,jk,rss
2026-06-12T21:05:40.654758,,Daily Excelsior,Two Bodies Recovered After Vehicle Carrying Four Missing Persons Traced In J&K's Poonch,https://www.dailyexcelsior.com/two-bodies-recovered-after-vehicle-carrying-four-missing-persons-traced-in-jks-poonch/,8.0,Kinetic,Search Operation,,"Poonch, Shopian, Rajouri, Jammu",,jk,playwright
2026-06-12T21:06:48.601322,,The Kashmir Walla,Rajouri gunfight: Body of another militant found after fortnight,https://thekashmirwalla.com/rajouri-gunfight-body-of-another-militant-found-after-fortnight/,8.0,Kinetic,Gunfight/Encounter,SOG,"Reasi, Rajouri",Killed: 2 militant,jk,playwright
2026-06-12T21:06:53.850953,,Greater Kashmir,Amarnath Yatra: DIG DKR reviews security scenario inRamban,https://www.greaterkashmir.com/security/amarnath-yatra-dig-dkr-reviews-security-scenario-inramban-12029054,8.0,Kinetic,Border Infiltration,"BSF, CRPF, RR, CAPF, CISF, SSB",Ramban,,jk,playwright
2026-06-12T21:07:14.429609,,The Kashmir Walla,Statement: Fahad Shah’s custody taken over by SIA Jammu as arrest saga continues,https://thekashmirwalla.com/statement-fahad-shahs-custody-taken-over-by-sia-jammu-as-arrest-saga-continues/,3.0,Other,Other,"NIA, STATE INVESTIGATION AGENCY, SIA","Jammu, Srinagar, Kupwara, Shopian, Pulwama",,jk,playwright
2026-06-12T21:07:22.428406,,The Kashmir Walla,Statement: Fresh summons issued to Kashmir Walla editor over Srinagar gunfight coverage,https://thekashmirwalla.com/statement-fresh-summons-issued-to-kashmir-walla-editor-over-srinagar-gunfight-coverage/,8.0,Kinetic,Gunfight/Encounter,,"Jammu, Srinagar",Killed: 2 militant,jk,playwright
2026-06-12T21:07:55.271288,2026-06-12,Kashmir Life,Is Kashmir Forgetting the Dignity of Those Who Guide Its Faith?,https://kashmirlife.net/is-kashmir-forgetting-the-dignity-of-those-who-guide-its-faith-439691/,8.0,Kinetic,Gunfight/Encounter,,Srinagar,,jk,playwright
2026-06-12T21:08:20.494954,2026-06-12,Kashmir Life,Iran Orders Complete Closure of Strait of Hormuz,https://kashmirlife.net/iran-orders-complete-closure-of-strait-of-hormuz-439674/,10.0,Kinetic,IED/Explosion,,Srinagar,,jk,playwright
2026-06-12T21:09:52.076113,,Kashmir Media Watch,"Drug-Free J&K Campaign Reaches 19th District, Lieutenant Governor Leads Padyatra in Kishtwar",https://www.kashmirmediawatch.com/drug-free-jk-campaign-reaches-19th-district-lieutenant-governor-leads-padyatra-in-kishtwar/,8.0,Kinetic,Border Infiltration,,"Kulgam, Pulwama, Kishtwar, Jammu, Ramban",,jk,playwright
2026-06-12T21:10:02.015727,2026-06-12,Top News J&K,PoJK bloodshed a matter of grave concern; India cannot remain a silent spectator: NSF,https://topnewsjk.in/jammu/pojk-bloodshed-a-matter-of-grave-concern-india-cannot-remain-a-silent-spectator-nsf/,10.0,Kinetic,Search Operation,Nsf,Jammu,,jk,playwright
2026-06-12T21:10:19.303607,2026-06-12,Top News J&K,"Khajuria calls for adequate anti-venom stock in rural health centres ahead of Monsoon, Paddy Season",https://topnewsjk.in/jammu/khajuria-calls-for-adequate-anti-venom-stock-in-rural-health-centres-ahead-of-monsoon-paddy-season/,8.0,Kinetic,Gunfight/Encounter,,Jammu,,jk,playwright
2026-06-12T21:10:44.877268,2026-06-12,Nagaland Post,UNC calls 24-hour shutdown across Naga areas; demands removal of DyCM Nemcha,https://nagalandpost.com/unc-calls-24-hour-shutdown-across-naga-areas-demands-removal-of-dycm-nemcha/,9.5,Unrest,Civil Unrest,"Knf, Kuki National Front",Dimapur,,ne,playwright
2026-06-12T21:11:00.030436,2026-06-12,Nagaland Post,"NIA starts forensic probe of abduction, killings of 6 Nagas",https://nagalandpost.com/nia-starts-forensic-probe-of-abduction-killings-of-6-nagas/,8.0,Kinetic,Search Operation,"NIA, NATIONAL INVESTIGATION AGENCY, MANIPUR POLICE","Senapati, Imphal, Kangpokpi",,ne,playwright
